aoi_id,cross_hair_x,cross_hair_y,cross_hair_z,aoi_x_0,aoi_y_0,aoi_z_0,aoi_x_1,aoi_y_1,aoi_z_1,aoi_x_2,aoi_y_2,aoi_z_2,color,name
1,60,414,75,17,335,75,117,335,75,17,496,75,#800000,Oberer Küchenschrank 1
2,82,116,156,48,35,156,117,35,156,48,196,156,#9A6324,Unterer Küchenschrank 1
3,185,460,75,117,425,75,255,335,75,117,496,75,#808000,Oberer Küchenschrank 2
4,185,377,75,117,335,75,255,335,75,117,425,75,#469990,Mikrowelle
5,183,116,156,117,35,156,255,35,156,117,196,156,#000075,Geschirrspüler
6,322,415,75,255,335,75,390,335,75,255,496,75,#000000,Oberer Küchenschrank 3
7,218,206,87,167,206,30,362,206,30,167,206,145,#e6194B,Spüle
8,319,116,156,255,35,156,390,35,156,255,196,156,#f58231,Unterer Küchenschrank 2
9,460,415,75,390,335,75,525,335,75,390,496,75,#ffe119,Oberer Küchenschrank 4
10,456,70,156,390,165,156,525,165,156,390,196,156,#bfef45,Unterer Küchenschrank 3 Oben
11,456,133,156,390,100,156,525,100,156,390,165,156,#3cb44b,Unterer Küchenschrank 3 Mitte
12,456,181,156,390,35,156,525,35,156,390,100,156,#42d4f4,Unterer Küchenschrank 3 Unten
13,594,415,75,525,335,75,660,335,75,525,496,75,#4363d8,Oberer Küchenschrank 5
14,555,206,55,530,206,30,594,206,30,530,206,85,#911eb4,Cerankochfeld Oben Links
15,620,206,55,594,206,30,658,206,30,594,206,85,#f032e6,Cerankochfeld Oben Rechts
16,555,206,110,530,206,85,594,206,85,530,206,145,#a9a9a9,Cerankochfeld Unten Links
17,620,206,110,594,206,85,658,206,85,594,206,145,#fabebe,Cerankochfeld Unten Rechts
18,537,186,156,532,183,156,542,183,156,532,190,156,#ffd8b1,Herd Schalthebel 1
19,555,186,156,550,183,156,560,183,156,550,190,156,#fffac8,Herd Schalthebel 2
20,590,188,156,570,180,156,610,180,156,570,195,156,#aaffc3,Herd Zeitanzeige
21,590,100,156,525,35,156,660,35,156,525,170,156,#e6beff,Herd
22,725,415,75,660,335,75,797,335,75,660,496,75,#ffff2f,Oberer Küchenschrank 6
23,725,116,156,660,35,156,797,35,156,660,196,156,blue,Unterer Küchenschrank 4
24,862,448,156,797,400,156,935,400,156,797,496,156,red,Oberer Küchenschrank 7
25,862,298,156,797,197,156,935,197,156,797,400,156,green,Kühlschrank
26,862,116,156,797,35,156,935,35,156,797,197,156,violet,Unterer Küchenschrank 5